GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
51,2,47,0,78,1,0,0,0,1,YES
41,2,42,0,68,1,0,0,0,0,YES
82,14,43,25,77,5,11,3,0,3,YES
61,14,48,31,82,2,7,2,0,3,YES
58,7,44,29,66,3,3,1,0,1,NO
55,15,48,0,68,8,1,1,1,2,YES
67,12,44,33,88,3,6,2,0,3,YES
42,8,41,20,83,5,2,1,0,2,YES
35,10,36,22,73,3,2,1,1,2,YES
35,10,36,22,73,3,2,1,1,2,YES
82,12,50,20,60,6,1,1,2,2,YES
80,9,46,21,84,2,6,1,0,2,YES
81,8,50,0,63,6,1,1,1,1,YES
82,10,49,36,80,2,2,1,0,1,YES
61,10,40,27,74,2,2,1,0,2,YES
66,9,48,0,51,4,1,1,1,2,YES
59,8,42,34,82,4,2,1,1,1,NO
79,8,46,17,58,4,2,1,1,2,YES
82,9,49,37,77,4,1,1,1,1,YES
79,5,39,19,78,2,5,2,0,1,YES
78,8,43,0,73,4,1,1,0,1,YES
24,5,39,39,73,1,3,1,0,1,NO
39,6,46,0,87,5,1,0,0,1,YES
75,6,43,0,71,3,1,1,1,2,NO
79,4,53,0,64,3,1,0,0,1,YES
58,3,37,24,72,1,3,0,0,1,NO
49,5,45,0,72,1,1,0,0,1,NO
70,4,50,23,81,2,1,0,1,1,YES
40,4,42,20,90,1,2,0,0,1,NO
55,3,47,0,56,3,0,0,0,1,YES
59,3,47,0,74,1,2,1,0,1,NO
44,2,40,0,81,1,2,0,0,1,NO
49,5,47,0,70,1,1,0,0,1,YES
44,1,39,0,44,2,0,0,0,1,NO
41,2,37,0,67,2,1,0,0,1,NO
36,1,38,29,62,0,1,0,0,1,YES
45,6,38,37,74,2,3,1,0,1,NO
50,2,31,0,60,1,0,0,0,0,NO
82,23,46,21,68,5,5,3,1,4,YES
82,19,47,36,75,8,4,1,0,3,YES
80,15,49,0,75,8,2,1,2,2,YES
80,16,54,0,70,8,4,1,1,3,YES
71,5,48,0,62,5,8,2,1,2,YES
68,10,49,0,76,5,1,1,1,1,YES
63,16,53,0,65,5,2,1,1,2,NO
78,9,45,22,65,5,2,2,0,2,YES
80,6,40,32,77,2,1,1,0,0,NO
80,9,46,20,73,5,1,1,1,1,YES
77,9,43,25,74,2,2,1,0,2,YES
81,10,44,30,80,2,4,1,0,2,YES
50,7,40,0,58,5,1,0,1,2,YES
80,5,45,28,78,2,5,1,0,2,YES
75,8,47,33,68,7,1,1,1,1,YES
67,7,41,33,83,2,3,1,0,2,YES
82,5,56,0,61,4,1,1,2,1,YES
64,8,49,22,66,3,1,0,0,1,YES
68,7,58,0,73,4,1,1,1,1,YES
77,7,55,0,59,4,1,1,1,1,YES
68,7,46,8,74,4,1,0,0,1,YES
77,5,48,0,63,4,1,0,0,1,YES
66,4,47,0,69,3,1,1,0,1,YES
67,5,42,25,73,3,2,1,0,1,NO
65,5,48,0,69,3,0,0,0,1,YES
65,5,41,35,77,2,1,1,0,1,NO
62,4,53,0,64,4,0,0,0,1,YES
64,6,45,24,70,2,1,0,0,1,NO
59,6,54,0,65,3,1,0,1,1,YES
70,7,66,0,63,4,1,1,1,1,NO
62,6,44,32,80,2,1,0,0,1,YES
35,4,39,0,35,3,1,0,0,1,NO
42,3,38,33,75,1,1,1,0,1,NO
59,5,41,5,87,1,1,0,0,1,YES
45,4,49,0,60,2,1,0,0,0,NO
67,5,43,28,79,1,1,0,0,1,YES
60,4,47,0,69,2,1,0,0,1,YES
41,3,43,0,75,1,1,0,0,1,NO
62,4,44,0,75,2,0,0,0,1,YES
43,3,38,20,64,1,1,0,0,1,NO
53,2,46,0,61,2,0,0,1,1,NO
54,2,34,31,63,1,1,0,0,1,NO
50,20,47,0,74,9,2,1,2,3,NO
82,17,49,20,69,8,2,1,1,3,YES
81,15,50,0,48,9,3,1,1,3,YES
81,15,52,0,68,7,1,0,1,2,YES
79,11,49,33,75,8,1,1,3,2,YES
55,14,46,19,90,2,2,1,0,1,YES
81,13,47,28,56,3,2,1,0,2,YES
82,9,48,31,80,2,5,1,0,2,YES
82,6,43,0,73,4,1,1,1,1,NO
77,10,52,0,66,9,2,1,0,2,YES
82,8,51,0,61,6,1,1,1,1,YES
58,7,47,22,78,6,1,1,1,1,NO
80,9,56,0,67,4,1,1,1,2,YES
82,6,54,17,61,5,1,1,1,1,YES
71,5,46,0,53,4,1,0,0,1,YES
64,8,47,0,65,4,0,1,0,1,YES
79,8,48,18,79,2,4,1,0,2,YES
79,7,47,31,81,2,3,1,0,1,YES
34,7,43,31,60,3,1,1,1,1,NO
71,5,46,31,61,2,3,1,0,1,NO
78,5,47,9,62,3,1,1,1,1,NO
76,6,48,27,79,2,4,1,0,1,NO
80,5,47,0,72,5,1,0,0,1,YES
68,5,41,18,58,2,1,0,0,1,NO
64,4,53,0,44,4,0,0,0,1,NO
64,4,53,0,44,4,0,0,0,1,NO
53,3,60,0,43,3,0,0,0,0,NO
66,5,48,0,85,2,1,0,0,1,NO
77,5,38,32,76,2,1,0,0,1,NO
45,4,41,20,60,1,2,0,0,1,NO
45,4,38,11,51,1,2,1,0,1,NO
64,4,46,0,73,1,1,0,0,1,YES
55,4,44,50,56,2,2,1,0,1,YES
57,5,44,20,93,1,1,0,0,1,YES
36,3,56,0,67,1,0,0,0,1,NO
57,3,36,25,93,1,1,0,0,1,YES
48,3,41,0,80,2,0,0,0,1,YES
75,3,31,26,64,1,3,1,0,1,NO
82,28,52,17,85,7,6,2,1,4,YES
80,14,47,0,77,4,3,1,0,3,YES
76,10,54,0,71,9,3,1,3,2,YES
82,14,55,17,73,9,2,1,1,3,YES
82,11,47,25,82,7,2,1,1,1,YES
80,9,45,20,83,2,4,1,0,2,YES
79,11,51,0,78,6,1,1,1,2,YES
82,13,60,0,62,7,1,0,1,2,YES
82,9,47,22,66,6,0,0,1,1,YES
75,7,54,0,74,5,1,1,0,1,YES
79,9,50,36,73,3,4,2,0,2,YES
78,9,56,0,72,5,1,0,0,2,YES
78,8,52,0,65,5,2,1,1,2,YES
78,8,52,0,65,5,2,1,1,2,NO
78,8,52,0,65,5,2,1,1,2,NO
29,4,32,31,50,1,1,1,0,1,YES
29,4,32,31,50,1,1,1,0,1,NO
29,4,32,31,50,1,1,1,0,1,NO
72,6,45,0,86,3,2,0,0,1,YES
82,7,46,0,68,4,2,1,0,1,YES
62,8,53,33,79,4,1,1,1,2,YES
78,7,45,35,75,2,3,1,0,1,YES
75,7,47,0,47,4,1,1,1,2,YES
82,6,47,18,74,1,5,1,0,2,YES
74,7,46,16,81,2,2,1,0,1,NO
74,4,46,19,71,2,3,1,0,1,NO
54,6,50,0,54,5,0,0,0,1,YES
74,5,48,0,73,4,1,0,0,1,NO
36,6,43,50,82,2,1,0,0,1,YES
78,5,49,0,67,3,1,0,0,1,YES
67,4,59,0,40,4,1,1,1,1,NO
59,5,42,0,71,2,1,0,0,1,NO
77,6,48,0,65,3,1,1,0,1,YES
53,2,33,0,56,3,0,0,1,1,NO
60,3,49,0,76,3,1,0,1,1,YES
56,6,50,0,80,2,0,1,0,1,YES
63,4,38,22,76,1,1,1,0,1,NO
66,4,40,25,71,2,0,0,0,1,NO
51,4,44,0,75,2,1,0,0,1,NO
60,3,37,0,51,2,0,0,0,1,NO
59,3,37,0,77,1,1,1,0,1,YES
51,5,48,0,64,1,0,0,0,1,NO
47,4,38,0,69,1,0,1,0,1,NO
38,3,37,13,69,1,1,0,0,1,YES
43,2,42,0,52,1,1,0,0,0,NO
39,1,41,0,50,2,0,0,0,0,NO
39,3,42,36,68,1,1,0,0,1,NO
38,2,39,0,88,1,1,0,0,1,YES
82,21,52,25,66,11,2,1,2,4,YES
81,12,48,19,75,7,2,1,1,2,YES
80,8,47,0,73,3,8,2,0,3,YES
79,11,50,25,73,6,2,1,1,2,YES
52,4,36,25,64,3,0,0,0,1,YES
82,12,45,24,74,4,2,1,0,2,YES
81,9,51,0,75,6,2,1,2,1,YES
81,12,44,32,83,2,2,0,0,1,YES
81,9,46,17,79,3,4,2,0,2,YES
80,6,50,0,59,6,1,0,2,1,YES
74,11,48,24,81,2,2,1,0,2,YES
82,9,47,23,77,4,2,1,1,1,NO
82,6,44,12,67,2,3,1,0,1,YES
79,7,54,25,84,4,1,1,1,1,YES
80,8,45,26,79,2,2,1,0,1,NO
31,3,46,0,66,4,0,0,1,1,NO
73,7,45,24,89,1,3,0,0,1,YES
82,8,45,25,73,3,2,1,0,2,YES
72,6,46,9,73,2,2,1,0,1,NO
82,8,42,27,79,2,4,2,0,2,YES
78,4,41,11,78,2,3,1,0,1,NO
67,8,46,41,72,4,1,1,0,1,YES
75,6,44,0,71,3,2,1,0,1,YES
78,5,50,40,61,1,1,0,0,0,YES
49,5,44,0,71,4,1,0,0,1,YES
78,4,52,0,61,3,1,0,1,1,YES
38,5,42,38,68,1,1,0,0,1,NO
55,6,46,26,77,2,1,0,0,1,NO
40,7,51,0,85,1,1,1,0,1,NO
47,3,39,0,70,2,1,0,0,1,NO
45,3,42,13,82,1,1,0,0,1,YES
49,3,45,18,62,1,3,0,0,1,YES
48,5,50,0,62,1,1,1,0,1,NO
39,3,54,0,54,3,1,1,0,1,NO
57,3,38,0,70,2,0,0,1,1,YES
57,2,40,23,78,1,1,0,0,0,YES
33,4,37,29,63,2,2,1,0,1,NO
53,3,38,36,94,3,0,0,0,0,NO
15,2,27,0,67,2,1,0,0,1,NO
45,4,57,0,42,2,1,0,0,0,NO
55,3,45,0,64,1,1,0,0,1,YES
35,2,46,0,31,2,0,0,0,1,YES
70,24,52,0,71,11,3,2,1,3,YES
81,20,48,22,74,11,3,2,1,3,YES
76,15,47,20,73,3,4,1,0,3,YES
82,10,45,32,79,5,2,1,1,2,YES
76,10,45,22,72,2,4,1,0,2,YES
58,3,54,0,71,3,0,0,1,0,NO
77,13,58,25,62,5,2,1,1,2,YES
78,8,46,47,67,3,3,1,0,1,YES
73,10,43,35,70,3,2,1,0,2,YES
80,5,46,0,69,4,1,0,1,2,YES
82,4,60,0,61,6,1,1,0,1,YES
74,7,41,13,75,2,5,1,0,3,NO
82,9,49,13,81,2,3,1,0,2,NO
79,7,46,11,60,4,3,1,1,2,YES
51,3,42,20,64,2,1,1,0,1,NO
75,5,48,0,70,3,3,2,0,1,YES
81,4,41,0,66,6,1,0,3,2,YES
75,6,53,0,74,5,1,1,1,1,NO
44,4,40,0,65,2,3,1,0,1,NO
77,6,43,34,73,2,1,1,0,1,NO
43,4,38,0,74,2,3,1,0,2,NO
76,8,43,40,83,2,2,1,0,1,YES
78,5,40,37,70,4,2,1,0,1,YES
77,6,48,25,74,3,1,0,0,1,NO
68,6,43,0,76,1,3,1,0,2,YES
52,4,46,14,67,2,0,0,0,1,NO
62,6,49,0,57,4,1,0,1,1,YES
71,5,51,0,65,5,1,1,1,1,YES
53,5,53,0,77,3,1,0,0,1,NO
44,3,31,0,78,3,1,0,0,1,NO
68,3,36,11,81,1,2,0,0,1,NO
68,3,36,11,81,1,2,0,0,1,YES
49,4,44,14,58,2,1,0,0,1,YES
54,3,45,0,47,2,1,0,0,1,NO
52,3,42,0,57,3,0,0,1,0,NO
62,4,48,14,76,1,1,0,0,1,YES
65,5,54,0,64,2,1,0,0,1,YES
40,2,49,15,70,2,0,1,0,1,NO
55,5,45,36,74,1,1,0,0,1,NO
48,3,41,0,68,2,1,0,0,1,NO
23,1,37,0,45,2,1,0,0,1,NO
63,4,37,22,64,1,1,1,0,1,NO
44,3,42,0,66,1,1,1,0,1,NO
54,2,40,0,31,2,0,0,0,0,YES
39,2,38,14,56,1,0,0,0,1,YES
36,2,45,0,44,2,0,0,0,1,YES
31,1,34,0,55,1,0,0,0,0,YES
35,3,36,9,67,1,1,0,0,0,NO
82,22,50,23,80,5,3,1,0,3,YES
82,16,58,0,62,12,1,1,1,3,YES
72,17,42,29,70,3,8,2,0,4,YES
81,17,53,0,62,7,2,1,1,3,YES
81,21,50,25,72,7,2,1,0,2,YES
51,19,47,35,68,5,3,1,0,3,YES
82,12,48,29,67,7,2,1,2,2,YES
82,14,56,33,75,9,2,1,1,3,YES
79,11,41,22,75,2,5,1,0,2,YES
80,8,44,0,70,4,2,1,0,1,YES
78,13,61,0,64,6,1,1,1,3,YES
76,12,48,23,78,4,2,1,1,2,YES
80,10,48,0,68,5,2,1,0,1,YES
74,9,46,9,66,4,2,1,0,1,YES
74,9,46,9,66,4,2,1,0,1,YES
82,8,48,0,76,5,2,1,1,2,YES
79,7,43,0,78,3,1,1,0,1,NO
59,6,56,0,55,5,1,1,1,1,NO
64,5,52,0,50,5,1,1,1,1,YES
63,5,46,0,58,5,1,0,1,1,YES
71,5,50,0,71,4,1,1,0,1,YES
82,6,41,0,76,2,3,1,0,2,YES
63,6,45,28,73,2,3,1,0,1,NO
64,7,47,31,66,1,2,1,0,1,NO
71,7,46,0,72,3,1,1,0,1,NO
75,7,51,0,70,3,1,0,0,1,YES
80,5,52,0,52,5,1,0,2,2,YES
80,7,52,0,64,3,1,1,1,1,YES
77,5,55,0,60,3,1,0,0,1,YES
49,4,44,0,59,2,1,0,0,1,NO
24,2,32,28,73,1,1,0,0,1,NO
72,3,51,0,46,3,1,0,1,1,NO
54,5,51,0,82,1,1,0,0,1,YES
49,5,46,22,64,1,1,1,0,1,NO
46,3,58,50,83,1,1,0,0,1,NO
54,4,48,0,81,3,1,0,0,1,NO
53,4,36,29,86,1,2,1,0,1,YES
39,5,47,0,59,1,0,1,0,1,YES
43,3,54,67,51,1,1,0,0,1,NO
39,4,52,0,60,2,0,0,0,1,NO
43,3,36,30,78,1,0,0,0,0,NO
42,3,46,0,65,2,0,0,0,0,NO
42,4,43,0,74,1,1,0,0,1,YES
49,3,44,0,73,2,0,0,0,0,NO
51,3,45,0,68,1,0,0,0,1,NO
36,2,32,0,65,1,0,0,0,1,YES
82,19,49,0,72,9,1,1,2,3,YES
81,21,46,19,72,4,2,1,1,3,YES
82,10,51,0,59,12,1,1,1,2,YES
79,11,49,28,64,6,3,1,0,2,YES
80,15,45,10,75,2,7,1,0,3,YES
33,5,37,17,86,2,3,0,0,2,NO
37,2,36,19,67,2,0,0,0,0,NO
81,10,50,0,77,9,3,1,1,2,YES
82,15,48,0,71,5,3,1,0,2,YES
56,13,42,0,77,8,1,1,2,2,YES
81,11,47,24,73,3,4,2,0,2,YES
75,13,50,31,71,2,4,1,0,3,YES
68,8,46,0,70,7,2,1,0,2,NO
70,6,45,33,81,4,2,1,0,1,NO
81,12,44,0,78,3,2,1,0,2,YES
82,11,49,0,81,4,2,1,0,2,YES
79,10,50,0,66,5,1,1,1,2,NO
76,7,41,24,80,2,3,1,0,2,YES
76,7,41,24,80,2,3,1,0,2,NO
82,10,53,0,68,4,1,0,2,1,YES
71,7,44,15,75,2,3,1,0,2,NO
81,8,46,0,73,4,1,1,0,2,NO
82,7,48,5,61,2,5,2,0,2,YES
56,5,45,0,68,5,1,1,1,1,YES
82,8,51,24,90,2,2,1,0,1,YES
74,5,48,20,79,2,2,1,0,1,YES
28,2,43,30,86,2,0,0,0,1,NO
60,9,53,0,67,4,1,1,1,2,YES
64,4,50,0,75,2,2,1,0,1,NO
68,5,54,0,59,5,1,0,1,1,YES
65,4,45,33,73,2,1,0,1,1,YES
53,4,41,33,68,1,3,1,0,1,YES
52,5,51,0,68,4,1,0,1,1,YES
45,4,51,0,76,4,1,0,0,1,YES
54,6,46,30,74,1,1,0,0,1,YES
81,5,44,20,77,1,1,0,0,1,YES
40,2,33,0,56,1,1,1,0,1,NO
48,4,46,0,69,2,1,1,0,1,NO
37,4,46,27,65,1,0,0,0,0,NO
44,5,42,17,67,3,0,0,0,1,NO
55,4,46,0,60,3,1,0,0,1,NO
52,4,45,0,52,3,1,0,0,1,YES
59,3,45,0,56,1,1,1,0,1,NO
47,2,36,0,78,1,2,1,0,1,YES
60,3,33,0,74,1,1,0,0,1,NO
55,3,41,0,44,2,0,0,0,1,NO
44,3,35,50,46,1,0,0,0,1,NO
51,3,43,42,59,1,1,0,0,1,NO
31,2,36,29,75,1,0,0,0,0,NO
82,19,43,37,84,3,7,1,0,3,YES
56,14,41,39,79,4,2,1,1,2,YES
33,3,32,17,53,1,3,0,0,1,NO
64,14,52,0,75,8,1,1,2,1,YES
61,15,41,31,75,2,3,1,0,2,YES
82,9,43,35,81,4,1,1,1,1,YES
77,8,44,0,76,6,1,1,1,1,YES
76,8,46,27,57,4,1,1,1,1,YES
78,9,46,22,75,6,2,1,1,1,YES
81,9,44,36,76,4,1,1,0,1,YES
61,6,37,33,55,2,2,0,0,1,YES
12,5,36,32,67,3,1,1,0,1,NO
60,8,61,50,37,8,1,1,2,1,YES
45,6,49,20,75,6,1,1,1,1,NO
69,6,55,43,81,4,1,0,1,1,YES
41,6,42,38,83,3,3,1,1,1,YES
78,5,38,33,64,2,1,1,0,1,YES
78,7,42,39,91,1,3,1,0,1,YES
73,6,41,33,71,2,1,1,0,1,YES
